权利人关系,成员关系,成员新关系
父亲,妻子,儿媳
父亲,妻,儿媳
父亲,户主,"儿子,儿子,女儿,女儿"
父亲,配偶,"女婿,女婿,儿媳,儿媳"
父亲,子,孙子
父亲,儿子,孙子
父亲,长子,孙子
父亲,次子,孙子
父亲,二子,孙子
父亲,三子,孙子
父亲,四子,孙子
父亲,五子,孙子
父亲,女,孙女
父亲,女儿,孙女
父亲,长女,孙女
父亲,次女,孙女
父亲,二女,孙女
父亲,三女,孙女
父亲,四女,孙女
父亲,五女,孙女
父,妻子,儿媳
父,妻,儿媳
父,户主,"儿子,儿子,女儿,女儿"
父,配偶,"女婿,女婿,儿媳,儿媳"
父,子,孙子
父,儿子,孙子
父,长子,孙子
父,次子,孙子
父,二子,孙子
父,三子,孙子
父,四子,孙子
父,五子,孙子
父,女,孙女
父,女儿,孙女
父,长女,孙女
父,次女,孙女
父,二女,孙女
父,三女,孙女
父,四女,孙女
父,五女,孙女
母亲,妻子,儿媳
母亲,妻,儿媳
母亲,户主,"儿子,儿子,女儿,女儿"
母亲,配偶,"女婿,女婿,儿媳,儿媳"
母亲,子,孙子
母亲,儿子,孙子
母亲,长子,孙子
母亲,次子,孙子
母亲,二子,孙子
母亲,三子,孙子
母亲,四子,孙子
母亲,五子,孙子
母亲,女,孙女
母亲,女儿,孙女
母亲,长女,孙女
母亲,次女,孙女
母亲,二女,孙女
母亲,三女,孙女
母亲,四女,孙女
母亲,五女,孙女
母,妻子,儿媳
母,妻,儿媳
母,户主,"儿子,儿子,女儿,女儿"
母,配偶,"女婿,女婿,儿媳,儿媳"
母,子,孙子
母,儿子,孙子
母,长子,孙子
母,次子,孙子
母,二子,孙子
母,三子,孙子
母,四子,孙子
母,五子,孙子
母,女,孙女
母,女儿,孙女
母,长女,孙女
母,次女,孙女
母,二女,孙女
母,三女,孙女
母,四女,孙女
母,五女,孙女
妻子,户主,配偶
妻,户主,配偶
兄弟,户主,"兄弟,兄弟,姐,妹"
兄弟,弟媳,妻子
兄弟,嫂子,妻子
兄弟,侄子,儿子
兄弟,侄女,女儿
姐妹,户主,"兄,弟,姐妹,姐妹"
姐妹,外甥,儿子
姐妹,外甥女,女儿
儿子,户主,"父亲, 父亲, 母亲, 母亲"
儿子,妻子,母亲
儿子,妻,母亲
儿子,父亲,祖父
儿子,母亲,祖母
儿子,配偶,"父亲, 父亲, 母亲, 母亲"
儿子,子,兄弟
儿子,儿子,兄弟
儿子,长子,兄弟
儿子,次子,兄弟
儿子,二子,兄弟
儿子,三子,兄弟
儿子,四子,兄弟
儿子,五子,兄弟
儿子,女,"姐,妹,姐,妹"
儿子,女儿,"姐,妹,姐,妹"
儿子,长女,"姐,妹,姐,妹"
儿子,二女,"姐,妹,姐,妹"
儿子,次女,"姐,妹,姐,妹"
儿子,三女,"姐,妹,姐,妹"
儿子,四女,"姐,妹,姐,妹"
儿子,五女,"姐,妹,姐,妹"
儿子,孙子,儿子
儿子,孙女,女儿
儿子,孙,"儿子,儿子,女儿,女儿"
儿子,儿媳,妻子
女儿,户主,"父亲, 父亲, 母亲, 母亲"
女儿,妻子,母亲
女儿,妻,母亲
女儿,父亲,祖父
女儿,母亲,祖母
女儿,配偶,"父亲, 父亲, 母亲, 母亲"
女儿,女,姐妹
女儿,女儿,姐妹
女儿,长女,姐妹
女儿,次女,姐妹
女儿,二女,姐妹
女儿,三女,姐妹
女儿,四女,姐妹
女儿,五女,姐妹
女儿,子,"兄,弟,兄,弟"
女儿,儿子,"兄,弟,兄,弟"
女儿,长子,"兄,弟,兄,弟"
女儿,二子,"兄,弟,兄,弟"
女儿,次子,"兄,弟,兄,弟"
女儿,三子,"兄,弟,兄,弟"
女儿,四子,"兄,弟,兄,弟"
女儿,五子,"兄,弟,兄,弟"
女儿,外孙子,儿子
女儿,外孙女,女儿
女儿,外孙,"儿子,儿子,女儿,女儿"
孙子,户主,"祖父,祖父,祖母,祖母"
孙子,妻子,祖母
孙子,妻,祖母
孙子,父亲,曾祖父
孙子,母亲,曾祖母
孙子,配偶,"祖父,祖父,祖母,祖母"
孙子,子,父亲
孙子,儿子,父亲
孙子,长子,父亲
孙子,次子,父亲
孙子,二子,父亲
孙子,三子,父亲
孙子,四子,父亲
孙子,五子,父亲
孙子,孙子,兄弟
孙子,孙女,"姐,妹,姐,妹"
孙子,孙,"兄弟,兄弟,姐,妹"
孙子,孙子,兄弟
孙子,儿媳,母亲
